证券代码,证券名称,交易所名称,上市日期,上市板块,所属行业
000001.SZ,平安银行,深圳证券交易所,1991-04-03,主板,J 金融业
000002.SZ,万  科Ａ,深圳证券交易所,1991-01-29,主板,K 房地产
000004.SZ,*ST国华,深圳证券交易所,1990-12-01,主板,I 信息技术
000006.SZ,深振业Ａ,深圳证券交易所,1992-04-27,主板,K 房地产
000007.SZ,全新好,深圳证券交易所,1992-04-13,主板,K 房地产
000008.SZ,神州高铁,深圳证券交易所,1992-05-07,主板,C 制造业
000009.SZ,中国宝安,深圳证券交易所,1991-06-25,主板,J 金融业
000010.SZ,美丽生态,深圳证券交易所,1995-10-27,主板,E 建筑业
000011.SZ,深物业A,深圳证券交易所,1992-03-30,主板,K 房地产
000012.SZ,南  玻Ａ,深圳证券交易所,1992-02-28,主板,C 制造业
000014.SZ,沙河股份,深圳证券交易所,1992-06-02,主板,K 房地产
000016.SZ,深康佳Ａ,深圳证券交易所,1992-03-27,主板,C 制造业
000017.SZ,深中华A,深圳证券交易所,1992-03-31,主板,C 制造业
000019.SZ,深粮控股,深圳证券交易所,1992-10-12,主板,F 批发零售
000020.SZ,深华发Ａ,深圳证券交易所,1992-04-28,主板,C 制造业
000021.SZ,深科技,深圳证券交易所,1994-02-02,主板,C 制造业
000025.SZ,特  力Ａ,深圳证券交易所,1993-06-21,主板,F 批发零售
000026.SZ,飞亚达,深圳证券交易所,1993-06-03,主板,F 批发零售
000027.SZ,深圳能源,深圳证券交易所,1993-09-03,主板,D 水电煤气
000028.SZ,国药一致,深圳证券交易所,1993-08-09,主板,F 批发零售
000029.SZ,深深房Ａ,深圳证券交易所,1993-09-15,主板,K 房地产
000030.SZ,富奥股份,深圳证券交易所,1993-09-29,主板,C 制造业
000031.SZ,大悦城,深圳证券交易所,1993-10-08,主板,K 房地产
000032.SZ,深桑达Ａ,深圳证券交易所,1993-10-28,主板,E 建筑业
000034.SZ,神州数码,深圳证券交易所,1994-05-09,主板,F 批发零售
000035.SZ,中国天楹,深圳证券交易所,1994-04-08,主板,N 公共环保
000036.SZ,华联控股,深圳证券交易所,1994-06-17,主板,K 房地产
000037.SZ,深南电A,深圳证券交易所,1994-07-01,主板,D 水电煤气
000039.SZ,中集集团,深圳证券交易所,1994-04-08,主板,C 制造业
000042.SZ,中洲控股,深圳证券交易所,1994-09-21,主板,K 房地产
000045.SZ,深纺织Ａ,深圳证券交易所,1994-08-15,主板,C 制造业
